speaker_ID,mean
114,5.82
1263,4.03
1392,4.43
16,4.92
1638,3.09
2971,2.59
3274,4.54
339,5.34
459,3.7
4957,6.45
5400,5.99
5538,5.4
5717,4.04
5876,5.91
5935,5.32
669,4.58
7067,4.84
78,4.53
7874,3.07
8474,3.77
